,BTC,BTC,BTC,BTC,ETH,ETH,ETH,ETH,LTE,LTE,LTE,LTE,LINK,LINK,LINK,LINK,ADA,ADA,ADA,ADA
,volume,price,market_cap,total_volume,volume,price,market_cap,total_volume,volume,price,market_cap,total_volume,volume,price,market_cap,total_volume,volume,price,market_cap,total_volume
691,1426982400000,267.7980999999999,3740905133.6624985,51503307.06679215,1498694400000,300.18215256198584,27885580759.15084,467820573.9428333,1426982400000,1.798819171772492,67442234.99295685,1657482.9686009164,1569888000000,1.76289395577851,642277008.1484133,76298899.30981268,1567987200000,0.04652576544236705,1447219677.0790892,77249547.09945424
692,1427068800000,266.0272,3717118257.44,73040649.64393184,1498780800000,284.69108328848546,26454457715.02758,359285362.4912947,1427068800000,1.784530416860008,66961566.55560565,2163682.58392906,1569974400000,2.0126389837999636,731915073.6030097,93853682.58094399,1568073600000,0.046812260518715954,1458941923.408273,93849643.22445211
693,1427155200000,245.1679,3426730125.8925,153991184.32363835,1498867200000,262.47807335859795,24397386527.037548,364629591.9530462,1427155200000,1.675822527117544,62934348.63342049,4270237.660564695,1570060800000,2.006954571279284,730780841.2550313,93479382.84486602,1568160000000,0.04655343816464846,1448065034.157536,78782522.44652644
694,1427241600000,246.2715,3443109527.925,175875957.5910767,1498953600000,286.1336070099866,26603794019.452686,352969409.70496273,1427241600000,1.682257488333267,63229420.79839855,10292599.58444137,1570147200000,1.9910055812625105,726043940.967457,69790369.57773852,1568246400000,0.04489760105784981,1396305546.5241103,80657521.2801906
695,1427328000000,247.5595,3462026772.6875,148675593.25572366,1499040000000,278.5971953381099,25910676121.598396,244798911.4174002,1427328000000,1.692353684261405,63660006.04501281,4267835.397946627,1570233600000,1.9726558971631036,719614704.9652423,68630622.77721755,1568332800000,0.045334945419827265,1410382172.8827283,67160788.18941116
696,1427414400000,247.1476,3457360133.78,90325941.05609,1499126400000,269.7366305781692,25093983117.385654,239212708.08591032,1427414400000,1.693272148819673,63743490.806227505,2201342.643746196,1570320000000,1.9691130246380077,717052020.2319525,88614164.37560491,1568419200000,0.0457576836247777,1423985160.856117,67183583.02113278
697,1427500800000,252.0497,3526137495.545,82125758.55914597,1499212800000,265.9369454655199,24747605746.348026,269182917.884202,1427500800000,1.697460005523149,63910309.60078962,1810081.7139742908,1570406400000,2.1709719524252833,791146907.2911249,110730196.53879546,1568505600000,0.04645326282841542,1446341381.0265086,86110562.96924484
698,1427587200000,241.9136999999999,3384336375.9449987,84472855.7931449,1499299200000,267.4697236476019,24892807780.231613,182999371.28307688,1427587200000,1.654115574567507,62278367.76249495,2059073.1549516323,1570492800000,2.393319903838563,874000491.532922,180128158.23269367,1568592000000,0.046636019949772525,1450964365.2016687,72942355.66157754
699,1427673600000,246.5418,3449082800.73,96641741.12450412,1499385600000,241.4766205298395,22473685750.315968,257098223.16767168,1427673600000,1.674987795233544,63064218.43378149,2089452.908950756,1570579200000,2.5676440102857874,935640353.416624,194067133.89325127,1568678400000,0.04709648472001802,1461137776.075673,81224163.15464924
700,1427760000000,243.2692000000001,3403299617.6200013,76545513.49477836,1499472000000,246.21497097327446,22932342735.97489,237052454.07736254,1427760000000,1.64729324850517,62021503.406679325,1751160.3098238509,1570665600000,2.8040384698889733,1021822655.8840833,287427169.60683805,1568764800000,0.0490035399925224,1526149911.3615851,126124778.95444794
